review_id,rating,sentiment,category,review_text
R0101,5,positive,价格,服务态度好，优惠券也能正常使用。
R0102,4,positive,口味,咖啡豆很香，门店环境不错。
R0103,4,positive,口味,新品很好喝，出杯也快。
R0104,3,neutral,口味,味道还可以，但没有特别惊艳。
R0105,4,positive,口味,味道还可以，但没有特别惊艳。
R0106,4,positive,配送,配送很快，包装完整，会回购。
R0107,4,positive,口味,新品很好喝，出杯也快。
R0108,3,neutral,配送,杯子漏了，体验很差。
R0109,2,negative,配送,配送太慢了，咖啡都凉了。
R0110,4,positive,口味,味道还可以，但没有特别惊艳。
R0111,1,negative,配送,杯子漏了，体验很差。
R0112,4,positive,口味,味道还可以，但没有特别惊艳。
R0113,5,positive,价格,早餐搭配咖啡很划算。
R0114,3,neutral,口味,味道还可以，但没有特别惊艳。
R0115,4,positive,口味,新品很好喝，出杯也快。
R0116,4,positive,口味,味道还可以，但没有特别惊艳。
R0117,1,negative,价格,优惠券规则复杂，客服解释不清。
R0118,4,positive,价格,价格小贵，偶尔喝一次。
R0119,5,positive,价格,早餐搭配咖啡很划算。
R0120,4,positive,配送,配送很快，包装完整，会回购。
R0121,4,positive,口味,咖啡豆很香，门店环境不错。
R0122,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0123,4,positive,口味,味道还可以，但没有特别惊艳。
R0124,5,positive,价格,早餐搭配咖啡很划算。
R0125,4,positive,配送,配送很快，包装完整，会回购。
R0126,4,positive,价格,服务态度好，优惠券也能正常使用。
R0127,3,neutral,服务,门店排队太久，服务一般。
R0128,2,negative,服务,门店排队太久，服务一般。
R0129,5,positive,口味,新品很好喝，出杯也快。
R0130,1,negative,配送,配送太慢了，咖啡都凉了。
R0131,5,positive,价格,服务态度好，优惠券也能正常使用。
R0132,4,positive,价格,价格小贵，偶尔喝一次。
R0133,5,positive,口味,新品很好喝，出杯也快。
R0134,3,neutral,价格,价格小贵，偶尔喝一次。
R0135,5,positive,价格,早餐搭配咖啡很划算。
R0136,2,negative,口味,口味偏苦，不太适合我。
R0137,2,negative,配送,杯子漏了，体验很差。
R0138,4,positive,其他,等餐时间稍长，整体能接受。
R0139,5,positive,口味,咖啡豆很香，门店环境不错。
R0140,4,positive,口味,咖啡豆很香，门店环境不错。
R0141,3,neutral,口味,味道还可以，但没有特别惊艳。
R0142,4,positive,价格,早餐搭配咖啡很划算。
R0143,5,positive,口味,新品很好喝，出杯也快。
R0144,4,positive,配送,包装一般，咖啡没洒。
R0145,5,positive,价格,服务态度好，优惠券也能正常使用。
R0146,4,positive,口味,咖啡豆很香，门店环境不错。
R0147,3,neutral,价格,价格小贵，偶尔喝一次。
R0148,5,positive,价格,服务态度好，优惠券也能正常使用。
R0149,4,positive,价格,服务态度好，优惠券也能正常使用。
R0150,4,positive,价格,价格小贵，偶尔喝一次。
R0151,5,positive,口味,咖啡豆很香，门店环境不错。
R0152,3,neutral,口味,味道还可以，但没有特别惊艳。
R0153,5,positive,价格,服务态度好，优惠券也能正常使用。
R0154,4,positive,价格,价格小贵，偶尔喝一次。
R0155,3,neutral,配送,杯子漏了，体验很差。
R0156,4,positive,价格,价格小贵，偶尔喝一次。
R0157,5,positive,口味,新品很好喝，出杯也快。
R0158,4,positive,口味,咖啡豆很香，门店环境不错。
R0159,3,neutral,配送,包装一般，咖啡没洒。
R0160,4,positive,其他,等餐时间稍长，整体能接受。
R0161,2,negative,口味,口味偏苦，不太适合我。
R0162,2,negative,价格,优惠券规则复杂，客服解释不清。
R0163,5,positive,口味,新品很好喝，出杯也快。
R0164,5,positive,价格,早餐搭配咖啡很划算。
R0165,5,positive,口味,新品很好喝，出杯也快。
R0166,2,negative,服务,门店排队太久，服务一般。
R0167,4,positive,价格,服务态度好，优惠券也能正常使用。
R0168,3,neutral,口味,口味偏苦，不太适合我。
R0169,3,neutral,其他,等餐时间稍长，整体能接受。
R0170,4,positive,口味,咖啡豆很香，门店环境不错。
R0171,3,neutral,其他,等餐时间稍长，整体能接受。
R0172,5,positive,配送,配送很快，包装完整，会回购。
R0173,1,negative,口味,口味偏苦，不太适合我。
R0174,5,positive,价格,服务态度好，优惠券也能正常使用。
R0175,4,positive,口味,味道还可以，但没有特别惊艳。
R0176,4,positive,口味,咖啡豆很香，门店环境不错。
R0177,5,positive,价格,服务态度好，优惠券也能正常使用。
R0178,4,positive,口味,咖啡豆很香，门店环境不错。
R0179,3,neutral,口味,口味偏苦，不太适合我。
R0180,4,positive,配送,配送很快，包装完整，会回购。
R0181,5,positive,口味,新品很好喝，出杯也快。
R0182,1,negative,配送,杯子漏了，体验很差。
R0183,4,positive,配送,配送很快，包装完整，会回购。
R0184,4,positive,配送,包装一般，咖啡没洒。
R0185,4,positive,配送,包装一般，咖啡没洒。
R0186,2,negative,配送,配送太慢了，咖啡都凉了。
R0187,3,neutral,配送,包装一般，咖啡没洒。
R0188,5,positive,口味,咖啡豆很香，门店环境不错。
R0189,1,negative,服务,门店排队太久，服务一般。
R0190,3,neutral,配送,包装一般，咖啡没洒。
R0191,4,positive,口味,咖啡豆很香，门店环境不错。
R0192,3,neutral,配送,包装一般，咖啡没洒。
R0193,2,negative,口味,口味偏苦，不太适合我。
R0194,5,positive,口味,新品很好喝，出杯也快。
R0195,4,positive,其他,等餐时间稍长，整体能接受。
R0196,5,positive,价格,服务态度好，优惠券也能正常使用。
R0197,4,positive,口味,咖啡豆很香，门店环境不错。
R0198,3,neutral,配送,杯子漏了，体验很差。
R0199,3,neutral,价格,价格小贵，偶尔喝一次。
R0200,5,positive,价格,早餐搭配咖啡很划算。
R0201,4,positive,价格,早餐搭配咖啡很划算。
R0202,5,positive,口味,咖啡豆很香，门店环境不错。
R0203,4,positive,价格,服务态度好，优惠券也能正常使用。
R0204,4,positive,口味,新品很好喝，出杯也快。
R0205,5,positive,配送,配送很快，包装完整，会回购。
R0206,5,positive,价格,早餐搭配咖啡很划算。
R0207,4,positive,配送,配送很快，包装完整，会回购。
R0208,4,positive,价格,早餐搭配咖啡很划算。
R0209,3,neutral,口味,口味偏苦，不太适合我。
R0210,4,positive,口味,新品很好喝，出杯也快。
R0211,4,positive,配送,配送很快，包装完整，会回购。
R0212,1,negative,配送,配送太慢了，咖啡都凉了。
R0213,5,positive,价格,早餐搭配咖啡很划算。
R0214,5,positive,价格,服务态度好，优惠券也能正常使用。
R0215,5,positive,口味,新品很好喝，出杯也快。
R0216,5,positive,口味,新品很好喝，出杯也快。
R0217,4,positive,配送,包装一般，咖啡没洒。
R0218,5,positive,口味,咖啡豆很香，门店环境不错。
R0219,4,positive,价格,早餐搭配咖啡很划算。
R0220,4,positive,价格,服务态度好，优惠券也能正常使用。
R0221,4,positive,价格,价格小贵，偶尔喝一次。
R0222,5,positive,价格,服务态度好，优惠券也能正常使用。
R0223,3,neutral,配送,杯子漏了，体验很差。
R0224,4,positive,价格,价格小贵，偶尔喝一次。
R0225,3,neutral,配送,杯子漏了，体验很差。
R0226,5,positive,价格,服务态度好，优惠券也能正常使用。
R0227,1,negative,价格,优惠券规则复杂，客服解释不清。
R0228,4,positive,价格,早餐搭配咖啡很划算。
R0229,4,positive,其他,等餐时间稍长，整体能接受。
R0230,4,positive,价格,价格小贵，偶尔喝一次。
R0231,1,negative,配送,配送太慢了，咖啡都凉了。
R0232,4,positive,口味,咖啡豆很香，门店环境不错。
R0233,4,positive,其他,等餐时间稍长，整体能接受。
R0234,4,positive,其他,等餐时间稍长，整体能接受。
R0235,5,positive,口味,咖啡豆很香，门店环境不错。
R0236,4,positive,价格,服务态度好，优惠券也能正常使用。
R0237,5,positive,口味,新品很好喝，出杯也快。
R0238,4,positive,价格,早餐搭配咖啡很划算。
R0239,2,negative,口味,口味偏苦，不太适合我。
R0240,4,positive,价格,价格小贵，偶尔喝一次。
R0241,5,positive,价格,服务态度好，优惠券也能正常使用。
R0242,5,positive,价格,服务态度好，优惠券也能正常使用。
R0243,4,positive,配送,配送很快，包装完整，会回购。
R0244,4,positive,口味,咖啡豆很香，门店环境不错。
R0245,4,positive,口味,新品很好喝，出杯也快。
R0246,4,positive,价格,早餐搭配咖啡很划算。
R0247,1,negative,口味,口味偏苦，不太适合我。
R0248,1,negative,配送,配送太慢了，咖啡都凉了。
R0249,3,neutral,服务,门店排队太久，服务一般。
R0250,4,positive,价格,价格小贵，偶尔喝一次。
R0251,5,positive,口味,咖啡豆很香，门店环境不错。
R0252,5,positive,口味,咖啡豆很香，门店环境不错。
R0253,5,positive,口味,咖啡豆很香，门店环境不错。
R0254,5,positive,口味,新品很好喝，出杯也快。
R0255,5,positive,配送,配送很快，包装完整，会回购。
R0256,5,positive,口味,咖啡豆很香，门店环境不错。
R0257,4,positive,口味,咖啡豆很香，门店环境不错。
R0258,5,positive,价格,早餐搭配咖啡很划算。
R0259,1,negative,价格,优惠券规则复杂，客服解释不清。
R0260,4,positive,配送,配送很快，包装完整，会回购。
R0261,5,positive,价格,服务态度好，优惠券也能正常使用。
R0262,2,negative,口味,口味偏苦，不太适合我。
R0263,3,neutral,价格,价格小贵，偶尔喝一次。
R0264,4,positive,价格,价格小贵，偶尔喝一次。
R0265,4,positive,口味,咖啡豆很香，门店环境不错。
R0266,2,negative,配送,配送太慢了，咖啡都凉了。
R0267,3,neutral,配送,包装一般，咖啡没洒。
R0268,5,positive,价格,早餐搭配咖啡很划算。
R0269,5,positive,价格,服务态度好，优惠券也能正常使用。
R0270,3,neutral,其他,等餐时间稍长，整体能接受。
R0271,5,positive,配送,配送很快，包装完整，会回购。
R0272,5,positive,口味,新品很好喝，出杯也快。
R0273,5,positive,配送,配送很快，包装完整，会回购。
R0274,4,positive,口味,新品很好喝，出杯也快。
R0275,1,negative,口味,口味偏苦，不太适合我。
R0276,4,positive,口味,味道还可以，但没有特别惊艳。
R0277,3,neutral,价格,价格小贵，偶尔喝一次。
R0278,3,neutral,口味,口味偏苦，不太适合我。
R0279,1,negative,价格,优惠券规则复杂，客服解释不清。
R0280,2,negative,口味,口味偏苦，不太适合我。
R0281,4,positive,口味,新品很好喝，出杯也快。
R0282,4,positive,口味,味道还可以，但没有特别惊艳。
R0283,4,positive,价格,价格小贵，偶尔喝一次。
R0284,4,positive,其他,等餐时间稍长，整体能接受。
R0285,3,neutral,服务,门店排队太久，服务一般。
R0286,4,positive,配送,配送很快，包装完整，会回购。
R0287,5,positive,口味,咖啡豆很香，门店环境不错。
R0288,4,positive,配送,配送很快，包装完整，会回购。
R0289,4,positive,口味,味道还可以，但没有特别惊艳。
R0290,5,positive,配送,配送很快，包装完整，会回购。
R0291,4,positive,其他,等餐时间稍长，整体能接受。
R0292,4,positive,口味,咖啡豆很香，门店环境不错。
R0293,4,positive,价格,服务态度好，优惠券也能正常使用。
R0294,5,positive,口味,新品很好喝，出杯也快。
R0295,3,neutral,口味,味道还可以，但没有特别惊艳。
R0296,5,positive,价格,早餐搭配咖啡很划算。
R0297,5,positive,口味,新品很好喝，出杯也快。
R0298,5,positive,口味,新品很好喝，出杯也快。
R0299,3,neutral,其他,等餐时间稍长，整体能接受。
R0300,3,neutral,配送,配送太慢了，咖啡都凉了。
R0301,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0302,4,positive,口味,味道还可以，但没有特别惊艳。
R0303,5,positive,口味,新品很好喝，出杯也快。
R0304,4,positive,口味,新品很好喝，出杯也快。
R0305,4,positive,价格,服务态度好，优惠券也能正常使用。
R0306,4,positive,配送,配送很快，包装完整，会回购。
R0307,3,neutral,其他,等餐时间稍长，整体能接受。
R0308,4,positive,配送,包装一般，咖啡没洒。
R0309,3,neutral,配送,包装一般，咖啡没洒。
R0310,5,positive,口味,咖啡豆很香，门店环境不错。
R0311,4,positive,价格,服务态度好，优惠券也能正常使用。
R0312,5,positive,价格,服务态度好，优惠券也能正常使用。
R0313,2,negative,服务,门店排队太久，服务一般。
R0314,4,positive,口味,咖啡豆很香，门店环境不错。
R0315,4,positive,配送,配送很快，包装完整，会回购。
R0316,2,negative,配送,杯子漏了，体验很差。
R0317,4,positive,价格,早餐搭配咖啡很划算。
R0318,4,positive,价格,早餐搭配咖啡很划算。
R0319,5,positive,口味,新品很好喝，出杯也快。
R0320,1,negative,服务,门店排队太久，服务一般。
R0321,4,positive,配送,配送很快，包装完整，会回购。
R0322,1,negative,口味,口味偏苦，不太适合我。
R0323,4,positive,其他,等餐时间稍长，整体能接受。
R0324,5,positive,价格,早餐搭配咖啡很划算。
R0325,5,positive,价格,服务态度好，优惠券也能正常使用。
R0326,4,positive,价格,早餐搭配咖啡很划算。
R0327,4,positive,价格,早餐搭配咖啡很划算。
R0328,1,negative,口味,口味偏苦，不太适合我。
R0329,4,positive,价格,早餐搭配咖啡很划算。
R0330,5,positive,口味,咖啡豆很香，门店环境不错。
R0331,4,positive,价格,价格小贵，偶尔喝一次。
R0332,4,positive,口味,咖啡豆很香，门店环境不错。
R0333,1,negative,配送,配送太慢了，咖啡都凉了。
R0334,4,positive,配送,配送很快，包装完整，会回购。
R0335,5,positive,口味,咖啡豆很香，门店环境不错。
R0336,3,neutral,口味,味道还可以，但没有特别惊艳。
R0337,4,positive,其他,等餐时间稍长，整体能接受。
R0338,4,positive,价格,服务态度好，优惠券也能正常使用。
R0339,5,positive,配送,配送很快，包装完整，会回购。
R0340,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0341,2,negative,价格,优惠券规则复杂，客服解释不清。
R0342,4,positive,配送,配送很快，包装完整，会回购。
R0343,3,neutral,口味,味道还可以，但没有特别惊艳。
R0344,4,positive,配送,配送很快，包装完整，会回购。
R0345,2,negative,配送,杯子漏了，体验很差。
R0346,3,neutral,价格,价格小贵，偶尔喝一次。
R0347,4,positive,价格,早餐搭配咖啡很划算。
R0348,2,negative,价格,优惠券规则复杂，客服解释不清。
R0349,5,positive,口味,新品很好喝，出杯也快。
R0350,4,positive,配送,配送很快，包装完整，会回购。
R0351,5,positive,配送,配送很快，包装完整，会回购。
R0352,4,positive,价格,早餐搭配咖啡很划算。
R0353,4,positive,价格,服务态度好，优惠券也能正常使用。
R0354,4,positive,口味,咖啡豆很香，门店环境不错。
R0355,5,positive,价格,服务态度好，优惠券也能正常使用。
R0356,2,negative,服务,门店排队太久，服务一般。
R0357,5,positive,口味,新品很好喝，出杯也快。
R0358,5,positive,价格,服务态度好，优惠券也能正常使用。
R0359,3,neutral,价格,价格小贵，偶尔喝一次。
R0360,5,positive,配送,配送很快，包装完整，会回购。
R0361,5,positive,价格,服务态度好，优惠券也能正常使用。
R0362,5,positive,价格,早餐搭配咖啡很划算。
R0363,4,positive,口味,咖啡豆很香，门店环境不错。
R0364,5,positive,配送,配送很快，包装完整，会回购。
R0365,5,positive,口味,咖啡豆很香，门店环境不错。
R0366,5,positive,口味,新品很好喝，出杯也快。
R0367,3,neutral,服务,门店排队太久，服务一般。
R0368,5,positive,价格,服务态度好，优惠券也能正常使用。
R0369,4,positive,价格,价格小贵，偶尔喝一次。
R0370,4,positive,配送,包装一般，咖啡没洒。
R0371,5,positive,口味,新品很好喝，出杯也快。
R0372,4,positive,配送,配送很快，包装完整，会回购。
R0373,5,positive,配送,配送很快，包装完整，会回购。
R0374,5,positive,口味,咖啡豆很香，门店环境不错。
R0375,4,positive,口味,新品很好喝，出杯也快。
R0376,4,positive,配送,配送很快，包装完整，会回购。
R0377,1,negative,服务,门店排队太久，服务一般。
R0378,5,positive,口味,咖啡豆很香，门店环境不错。
R0379,5,positive,配送,配送很快，包装完整，会回购。
R0380,4,positive,配送,配送很快，包装完整，会回购。
R0381,5,positive,口味,新品很好喝，出杯也快。
R0382,5,positive,配送,配送很快，包装完整，会回购。
R0383,2,negative,口味,口味偏苦，不太适合我。
R0384,5,positive,口味,新品很好喝，出杯也快。
R0385,4,positive,价格,服务态度好，优惠券也能正常使用。
R0386,4,positive,口味,新品很好喝，出杯也快。
R0387,4,positive,口味,咖啡豆很香，门店环境不错。
R0388,3,neutral,价格,价格小贵，偶尔喝一次。
R0389,3,neutral,口味,口味偏苦，不太适合我。
R0390,3,neutral,价格,价格小贵，偶尔喝一次。
R0391,5,positive,价格,早餐搭配咖啡很划算。
R0392,4,positive,价格,早餐搭配咖啡很划算。
R0393,5,positive,价格,服务态度好，优惠券也能正常使用。
R0394,4,positive,其他,等餐时间稍长，整体能接受。
R0395,4,positive,其他,等餐时间稍长，整体能接受。
R0396,4,positive,配送,包装一般，咖啡没洒。
R0397,4,positive,口味,新品很好喝，出杯也快。
R0398,2,negative,价格,优惠券规则复杂，客服解释不清。
R0399,5,positive,价格,服务态度好，优惠券也能正常使用。
R0400,5,positive,价格,服务态度好，优惠券也能正常使用。
R0401,3,neutral,配送,包装一般，咖啡没洒。
R0402,1,negative,价格,优惠券规则复杂，客服解释不清。
R0403,3,neutral,配送,包装一般，咖啡没洒。
R0404,5,positive,口味,新品很好喝，出杯也快。
R0405,5,positive,价格,早餐搭配咖啡很划算。
R0406,5,positive,配送,配送很快，包装完整，会回购。
R0407,3,neutral,配送,包装一般，咖啡没洒。
R0408,4,positive,配送,配送很快，包装完整，会回购。
R0409,1,negative,服务,门店排队太久，服务一般。
R0410,4,positive,价格,服务态度好，优惠券也能正常使用。
R0411,5,positive,价格,服务态度好，优惠券也能正常使用。
R0412,3,neutral,价格,优惠券规则复杂，客服解释不清。
R0413,4,positive,口味,味道还可以，但没有特别惊艳。
R0414,4,positive,配送,包装一般，咖啡没洒。
R0415,4,positive,口味,咖啡豆很香，门店环境不错。
R0416,4,positive,配送,包装一般，咖啡没洒。
R0417,4,positive,口味,咖啡豆很香，门店环境不错。
R0418,5,positive,价格,早餐搭配咖啡很划算。
R0419,4,positive,口味,味道还可以，但没有特别惊艳。
R0420,5,positive,价格,早餐搭配咖啡很划算。
R0421,5,positive,价格,早餐搭配咖啡很划算。
R0422,4,positive,其他,等餐时间稍长，整体能接受。
R0423,5,positive,价格,早餐搭配咖啡很划算。
R0424,2,negative,配送,配送太慢了，咖啡都凉了。
R0425,4,positive,口味,味道还可以，但没有特别惊艳。
R0426,5,positive,价格,早餐搭配咖啡很划算。
R0427,4,positive,口味,味道还可以，但没有特别惊艳。
R0428,5,positive,口味,咖啡豆很香，门店环境不错。
R0429,4,positive,配送,配送很快，包装完整，会回购。
R0430,3,neutral,口味,口味偏苦，不太适合我。
R0431,4,positive,价格,服务态度好，优惠券也能正常使用。
R0432,3,neutral,价格,价格小贵，偶尔喝一次。
R0433,4,positive,配送,配送很快，包装完整，会回购。
R0434,3,neutral,配送,包装一般，咖啡没洒。
R0435,3,neutral,口味,口味偏苦，不太适合我。
R0436,3,neutral,口味,味道还可以，但没有特别惊艳。
R0437,3,neutral,其他,等餐时间稍长，整体能接受。
R0438,1,negative,配送,配送太慢了，咖啡都凉了。
R0439,4,positive,价格,早餐搭配咖啡很划算。
R0440,3,neutral,口味,味道还可以，但没有特别惊艳。
R0441,4,positive,配送,配送很快，包装完整，会回购。
R0442,4,positive,其他,等餐时间稍长，整体能接受。
R0443,4,positive,配送,配送很快，包装完整，会回购。
R0444,2,negative,口味,口味偏苦，不太适合我。
R0445,4,positive,口味,味道还可以，但没有特别惊艳。
R0446,3,neutral,口味,味道还可以，但没有特别惊艳。
R0447,4,positive,配送,配送很快，包装完整，会回购。
R0448,5,positive,价格,服务态度好，优惠券也能正常使用。
R0449,4,positive,配送,配送很快，包装完整，会回购。
R0450,3,neutral,其他,等餐时间稍长，整体能接受。
R0451,5,positive,价格,服务态度好，优惠券也能正常使用。
R0452,4,positive,口味,味道还可以，但没有特别惊艳。
R0453,4,positive,口味,新品很好喝，出杯也快。
R0454,3,neutral,配送,包装一般，咖啡没洒。
R0455,5,positive,配送,配送很快，包装完整，会回购。
R0456,1,negative,服务,门店排队太久，服务一般。
R0457,3,neutral,口味,口味偏苦，不太适合我。
R0458,4,positive,价格,早餐搭配咖啡很划算。
R0459,2,negative,配送,配送太慢了，咖啡都凉了。
R0460,4,positive,口味,咖啡豆很香，门店环境不错。
R0461,5,positive,口味,咖啡豆很香，门店环境不错。
R0462,4,positive,口味,新品很好喝，出杯也快。
R0463,4,positive,价格,早餐搭配咖啡很划算。
R0464,4,positive,价格,服务态度好，优惠券也能正常使用。
R0465,4,positive,口味,新品很好喝，出杯也快。
R0466,1,negative,配送,配送太慢了，咖啡都凉了。
R0467,3,neutral,其他,等餐时间稍长，整体能接受。
R0468,4,positive,配送,配送很快，包装完整，会回购。
R0469,1,negative,配送,配送太慢了，咖啡都凉了。
R0470,4,positive,口味,新品很好喝，出杯也快。
R0471,4,positive,配送,配送很快，包装完整，会回购。
R0472,4,positive,价格,早餐搭配咖啡很划算。
R0473,5,positive,配送,配送很快，包装完整，会回购。
R0474,4,positive,其他,等餐时间稍长，整体能接受。
R0475,4,positive,配送,配送很快，包装完整，会回购。
R0476,4,positive,口味,新品很好喝，出杯也快。
R0477,5,positive,口味,咖啡豆很香，门店环境不错。
R0478,4,positive,配送,配送很快，包装完整，会回购。
R0479,2,negative,配送,配送太慢了，咖啡都凉了。
R0480,4,positive,价格,服务态度好，优惠券也能正常使用。
R0481,4,positive,口味,新品很好喝，出杯也快。
R0482,2,negative,价格,优惠券规则复杂，客服解释不清。
R0483,4,positive,价格,早餐搭配咖啡很划算。
R0484,5,positive,口味,新品很好喝，出杯也快。
R0485,5,positive,口味,咖啡豆很香，门店环境不错。
R0486,4,positive,配送,包装一般，咖啡没洒。
R0487,4,positive,配送,配送很快，包装完整，会回购。
R0488,5,positive,口味,新品很好喝，出杯也快。
R0489,5,positive,配送,配送很快，包装完整，会回购。
R0490,3,neutral,价格,价格小贵，偶尔喝一次。
R0491,1,negative,服务,门店排队太久，服务一般。
R0492,3,neutral,价格,价格小贵，偶尔喝一次。
R0493,3,neutral,价格,价格小贵，偶尔喝一次。
R0494,5,positive,口味,咖啡豆很香，门店环境不错。
R0495,5,positive,价格,早餐搭配咖啡很划算。
R0496,5,positive,价格,服务态度好，优惠券也能正常使用。
R0497,2,negative,配送,配送太慢了，咖啡都凉了。
R0498,5,positive,价格,早餐搭配咖啡很划算。
R0499,5,positive,价格,早餐搭配咖啡很划算。
R0500,4,positive,价格,早餐搭配咖啡很划算。
R0501,3,neutral,口味,味道还可以，但没有特别惊艳。
